Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
1,4,1276-1946-1-ND,CL10B105KP8NNNC,CAP CER 1UF 10V X7R 0603,,4,0,0.08,0.32
2,1,1276-1009-1-ND,CL10B103KB8NNNC,CAP CER 10000PF 50V X7R 0603,,1,0,0.08,0.08
3,3,P1.00KHCT-ND,ERJ-3EKF1001V,RES SMD 1K OHM 1% 1/10W 0603,,3,0,0.1,0.3
4,2,P2.00KHCT-ND,ERJ-3EKF2001V,RES SMD 2K OHM 1% 1/10W 0603,,2,0,0.1,0.2
5,20,SLI-343D8U3F-ND,SLI-343D8U3F,LED ORANGE DIFFUSED T-1 T/H,,20,0,0.302,6.04
6,18,732-5015-ND,151051BS04000,LED BLUE DIFFUSED 5MM ROUND T/H,,18,0,0.24,4.32
7,1,296-35975-1-ND,TLC5940PWPR,IC LED DRVR LIN 120MA 28HTSSOP,,1,0,3,3
8,1,MCP73812T-420I/OTCT-ND,MCP73812T-420I/OT,IC BATT CNTL LI-ION 1CEL SOT23-5,,1,0,0.73,0.73
9,1,TC2015-3.3VCTCT-ND,TC2015-3.3VCTTR,IC REG LINEAR 3.3V 100MA SOT23-5,,1,0,0.56,0.56
10,4,CKN10880CT-ND,PTS645SL43SMTR92 LFS,SWITCH TACTILE SPST-NO 0.05A 12V,,4,0,0.4,1.6
11,3,IRF9540NSTRLPBFCT-ND,IRF9540NSTRLPBF,MOSFET P-CH 100V 23A D2PAK,,3,0,2.72,8.16
12,2,S7018-ND,PPTC201LFBN-RC,CONN HDR 20POS 0.1 TIN PCB,,2,0,1.1,2.2
13,1,2648-SC0917-ND,SC0917,RASPBERRY PI PICO H RP2040,,1,0,5,5
14,1,S7002-ND,PPTC041LFBN-RC,CONN HDR 4POS 0.1 TIN PCB,,1,0,0.4,0.4
15,1,S7005-ND,PPTC071LFBN-RC,CONN HDR 7POS 0.1 TIN PCB,,1,0,0.51,0.51
16,1,1528-1696-ND,3006,EVAL BOARD FOR MAX98357A,,1,0,5.95,5.95
17,1,102-1560-ND,CLS0401MAE-L152,SPEAKER 4OHM 1W TOP PORT 91DB,,1,0,4.58,4.58
18,1,S7007-ND,PPTC091LFBN-RC,CONN HDR 9POS 0.1 TIN PCB,,1,0,0.61,0.61
19,1,1528-4682-ND,4682,MICROSD SPI/SPIO BREAKOUT BOARD,,1,0,3.5,3.5
20,1,455-1719-ND,S2B-PH-K-S,CONN HEADER R/A 2POS 2MM,,1,0,0.1,0.1
21,1,1528-1838-ND,258,BATTERY LITH-ION 3.7V 1.2AH,,1,0,9.95,9.95
